_id,ANNO,COD_ATENEO,NOME_ATENEO,Reg_ATENEO,AREA_GEO,GENERE,COD_QUALIFICA,DESC_QUALIFICA,N_PERS
121,2020,1802,Pavia - Istituto universitario di studi superiori,Lombardia,NORD-OVEST,F,4AR,Titolare di assegno di ricerca,9
122,2020,1802,Pavia - Istituto universitario di studi superiori,Lombardia,NORD-OVEST,M,1PO e 2PA,Professore I/II fascia (ordinario/associato),19
123,2020,1802,Pavia - Istituto universitario di studi superiori,Lombardia,NORD-OVEST,M,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,7
124,2020,1802,Pavia - Istituto universitario di studi superiori,Lombardia,NORD-OVEST,M,4AR,Titolare di assegno di ricerca,10
125,2020,2101,Bolzano - Libera Università,Trentino-Alto Adige,NORD-EST,F,1PO e 2PA,Professore I/II fascia (ordinario/associato),40
126,2020,2101,Bolzano - Libera Università,Trentino-Alto Adige,NORD-EST,F,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,65
127,2020,2101,Bolzano - Libera Università,Trentino-Alto Adige,NORD-EST,F,4AR,Titolare di assegno di ricerca,66
128,2020,2101,Bolzano - Libera Università,Trentino-Alto Adige,NORD-EST,M,1PO e 2PA,Professore I/II fascia (ordinario/associato),92
129,2020,2101,Bolzano - Libera Università,Trentino-Alto Adige,NORD-EST,M,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,82
130,2020,2101,Bolzano - Libera Università,Trentino-Alto Adige,NORD-EST,M,4AR,Titolare di assegno di ricerca,76
131,2020,2201,Trento - Università degli studi,Trentino-Alto Adige,NORD-EST,F,1PO e 2PA,Professore I/II fascia (ordinario/associato),142
132,2020,2201,Trento - Università degli studi,Trentino-Alto Adige,NORD-EST,F,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,64
133,2020,2201,Trento - Università degli studi,Trentino-Alto Adige,NORD-EST,F,4AR,Titolare di assegno di ricerca,154
134,2020,2201,Trento - Università degli studi,Trentino-Alto Adige,NORD-EST,M,1PO e 2PA,Professore I/II fascia (ordinario/associato),387
135,2020,2201,Trento - Università degli studi,Trentino-Alto Adige,NORD-EST,M,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,121
136,2020,2201,Trento - Università degli studi,Trentino-Alto Adige,NORD-EST,M,4AR,Titolare di assegno di ricerca,201
137,2020,2301,Verona - Università degli studi,Veneto,NORD-EST,F,1PO e 2PA,Professore I/II fascia (ordinario/associato),182
138,2020,2301,Verona - Università degli studi,Veneto,NORD-EST,F,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,136
139,2020,2301,Verona - Università degli studi,Veneto,NORD-EST,F,4AR,Titolare di assegno di ricerca,194
140,2020,2301,Verona - Università degli studi,Veneto,NORD-EST,M,1PO e 2PA,Professore I/II fascia (ordinario/associato),336
141,2020,2301,Verona - Università degli studi,Veneto,NORD-EST,M,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,117
142,2020,2301,Verona - Università degli studi,Veneto,NORD-EST,M,4AR,Titolare di assegno di ricerca,162
143,2020,2701,"Venezia - Università degli studi ""Cà Foscari""",Veneto,NORD-EST,F,1PO e 2PA,Professore I/II fascia (ordinario/associato),152
144,2020,2701,"Venezia - Università degli studi ""Cà Foscari""",Veneto,NORD-EST,F,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,92
145,2020,2701,"Venezia - Università degli studi ""Cà Foscari""",Veneto,NORD-EST,F,4AR,Titolare di assegno di ricerca,149
146,2020,2701,"Venezia - Università degli studi ""Cà Foscari""",Veneto,NORD-EST,M,1PO e 2PA,Professore I/II fascia (ordinario/associato),254
147,2020,2701,"Venezia - Università degli studi ""Cà Foscari""",Veneto,NORD-EST,M,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,97
148,2020,2701,"Venezia - Università degli studi ""Cà Foscari""",Veneto,NORD-EST,M,4AR,Titolare di assegno di ricerca,128
149,2020,2702,Venezia - Università IUAV,Veneto,NORD-EST,F,1PO e 2PA,Professore I/II fascia (ordinario/associato),48
150,2020,2702,Venezia - Università IUAV,Veneto,NORD-EST,F,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,14
151,2020,2702,Venezia - Università IUAV,Veneto,NORD-EST,F,4AR,Titolare di assegno di ricerca,55
152,2020,2702,Venezia - Università IUAV,Veneto,NORD-EST,M,1PO e 2PA,Professore I/II fascia (ordinario/associato),69
153,2020,2702,Venezia - Università IUAV,Veneto,NORD-EST,M,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,18
154,2020,2702,Venezia - Università IUAV,Veneto,NORD-EST,M,4AR,Titolare di assegno di ricerca,48
155,2020,2801,Padova - Università degli studi,Veneto,NORD-EST,F,1PO e 2PA,Professore I/II fascia (ordinario/associato),535
156,2020,2801,Padova - Università degli studi,Veneto,NORD-EST,F,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,312
157,2020,2801,Padova - Università degli studi,Veneto,NORD-EST,F,4AR,Titolare di assegno di ricerca,426
158,2020,2801,Padova - Università degli studi,Veneto,NORD-EST,M,1PO e 2PA,Professore I/II fascia (ordinario/associato),1099
159,2020,2801,Padova - Università degli studi,Veneto,NORD-EST,M,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,369
160,2020,2801,Padova - Università degli studi,Veneto,NORD-EST,M,4AR,Titolare di assegno di ricerca,547
161,2020,3001,Udine - Università degli studi,Friuli-Venezia Giulia,NORD-EST,F,1PO e 2PA,Professore I/II fascia (ordinario/associato),134
162,2020,3001,Udine - Università degli studi,Friuli-Venezia Giulia,NORD-EST,F,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,82
163,2020,3001,Udine - Università degli studi,Friuli-Venezia Giulia,NORD-EST,F,4AR,Titolare di assegno di ricerca,84
164,2020,3001,Udine - Università degli studi,Friuli-Venezia Giulia,NORD-EST,M,1PO e 2PA,Professore I/II fascia (ordinario/associato),295
165,2020,3001,Udine - Università degli studi,Friuli-Venezia Giulia,NORD-EST,M,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,133
166,2020,3001,Udine - Università degli studi,Friuli-Venezia Giulia,NORD-EST,M,4AR,Titolare di assegno di ricerca,94
167,2020,3201,Trieste - Università degli studi,Friuli-Venezia Giulia,NORD-EST,F,1PO e 2PA,Professore I/II fascia (ordinario/associato),140
168,2020,3201,Trieste - Università degli studi,Friuli-Venezia Giulia,NORD-EST,F,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,84
169,2020,3201,Trieste - Università degli studi,Friuli-Venezia Giulia,NORD-EST,F,4AR,Titolare di assegno di ricerca,73
170,2020,3201,Trieste - Università degli studi,Friuli-Venezia Giulia,NORD-EST,M,1PO e 2PA,Professore I/II fascia (ordinario/associato),302
171,2020,3201,Trieste - Università degli studi,Friuli-Venezia Giulia,NORD-EST,M,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,118
172,2020,3201,Trieste - Università degli studi,Friuli-Venezia Giulia,NORD-EST,M,4AR,Titolare di assegno di ricerca,70
